,Date,Price,Open,High,Low,Vol.,Change %
863,12/12/14,"2,002.33","2,030.36","2,032.25","2,002.33",-,-1.62%
864,12/11/14,"2,035.33","2,027.92","2,055.53","2,027.92",-,0.45%
865,12/10/14,"2,026.14","2,058.86","2,058.86","2,024.26",-,-1.64%
866,12/9/14,"2,059.82","2,056.55","2,060.60","2,034.17",-,-0.02%
867,12/8/14,"2,060.31","2,074.84","2,075.78","2,054.27",-,-0.73%
868,12/5/14,"2,075.37","2,072.78","2,079.47","2,070.81",-,0.17%
869,12/4/14,"2,071.92","2,073.64","2,077.34","2,062.34",-,-0.12%
870,12/3/14,"2,074.33","2,067.45","2,076.28","2,066.65",-,0.38%
871,12/2/14,"2,066.55","2,053.77","2,068.77","2,053.77",-,0.64%
872,12/1/14,"2,053.44","2,065.78","2,065.78","2,049.57",-,-0.68%
873,11/28/14,"2,067.56","2,074.78","2,075.76","2,065.06",-,-0.25%
874,11/26/14,"2,072.83","2,067.36","2,073.29","2,066.62",-,0.28%
875,11/25/14,"2,067.03","2,070.15","2,074.21","2,064.75",-,-0.12%
876,11/24/14,"2,069.41","2,065.07","2,070.17","2,065.07",-,0.29%
877,11/21/14,"2,063.50","2,057.46","2,071.46","2,056.75",-,0.52%
878,11/20/14,"2,052.75","2,045.87","2,053.84","2,040.49",-,0.20%
879,11/19/14,"2,048.72","2,051.16","2,052.14","2,040.37",-,-0.15%
880,11/18/14,"2,051.80","2,041.48","2,056.08","2,041.48",-,0.51%
881,11/17/14,"2,041.32","2,038.29","2,043.07","2,034.46",-,0.07%
882,11/14/14,"2,039.82","2,039.74","2,042.22","2,035.20",-,0.02%
883,11/13/14,"2,039.33","2,039.21","2,046.18","2,030.44",-,0.05%
884,11/12/14,"2,038.25","2,037.75","2,040.33","2,031.95",-,-0.07%
885,11/11/14,"2,039.68","2,038.20","2,041.28","2,035.28",-,0.07%
886,11/10/14,"2,038.26","2,032.01","2,038.70","2,030.17",-,0.31%
887,11/7/14,"2,031.92","2,032.36","2,034.26","2,025.07",-,0.03%
888,11/6/14,"2,031.21","2,023.33","2,031.61","2,015.86",-,0.38%
889,11/5/14,"2,023.57","2,015.29","2,023.77","2,014.42",-,0.57%
890,11/4/14,"2,012.10","2,015.81","2,015.98","2,001.01",-,-0.28%
891,11/3/14,"2,017.81","2,018.21","2,024.46","2,013.68",-,-0.01%
892,10/31/14,"2,018.05","2,001.20","2,018.19","2,001.20",-,1.17%
893,10/30/14,"1,994.65","1,979.49","1,999.40","1,974.75",-,0.62%
894,10/29/14,"1,982.30","1,983.29","1,991.40","1,969.04",-,-0.14%
